mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n,ratio
0.9953488372093023,2.4279686000663787,0.0,8.0,1,0,2.4279686000663787,0.9953488372093023,Simulated Annealing (Enhanced),400,4.3
0.9854166666666667,3.580614000093192,0.0,35.0,1,0,3.580614000093192,0.9854166666666667,Simulated Annealing (Enhanced),400,6.0
0.978125,3.9337714000139385,0.0,70.0,1,0,3.9337714000139385,0.978125,Simulated Annealing (Enhanced),400,8.0
0.96475,8.119656099937856,0.0,141.0,1,0,8.119656099937856,0.96475,Simulated Annealing (Enhanced),400,10.0
1.0,2.3247953000245616,1.0,0.0,1,1,2.3247953000245616,1.0,Simulated Annealing (Enhanced),500,3.0
0.9944186046511628,5.491300100111403,0.0,12.0,1,0,5.491300100111403,0.9944186046511628,Simulated Annealing (Enhanced),500,4.3
0.983,10.498318099998869,0.0,51.0,1,0,10.498318099998869,0.983,Simulated Annealing (Enhanced),500,6.0
0.9735,11.912767800036818,0.0,106.0,1,0,11.912767800036818,0.9735,Simulated Annealing (Enhanced),500,8.0
0.9674,11.382451999932528,0.0,163.0,1,0,11.382451999932528,0.9674,Simulated Annealing (Enhanced),500,10.0
0.9985714285714286,2.848584600025788,0.0,3.0,1,0,2.848584600025788,0.9985714285714286,Simulated Annealing (Enhanced),700,3.0
0.9953488372093023,6.616161399986595,0.0,14.0,1,0,6.616161399986595,0.9953488372093023,Simulated Annealing (Enhanced),700,4.3
0.9861904761904762,10.056143200024962,0.0,58.0,1,0,10.056143200024962,0.9861904761904762,Simulated Annealing (Enhanced),700,6.0
